Tm,W,L,T,Position,Reason
Dallas Cowboys (1),13,3,0,East Champion,
Atlanta Falcons (2),11,5,0,South Champion,
Seattle Seahawks (3),10,5,1,West Champion,
Green Bay Packers (4),10,6,0,North Champion,
New York Giants (5),11,5,0,Wild Card #1,
Detroit Lions (6),9,7,0,Wild Card #2,win percentage in common games
Tampa Bay Buccaneers,9,7,0,,
Washington Redskins,8,7,1,,
Minnesota Vikings,8,8,0,,
Arizona Cardinals,7,8,1,,
New Orleans Saints,7,9,0,,conference win percentage
Philadelphia Eagles,7,9,0,,
Carolina Panthers,6,10,0,,
Los Angeles Rams,4,12,0,,
Chicago Bears,3,13,0,,
San Francisco 49ers,2,14,0,,